id,sub_domain,name
830,sayansk,Саянск
831,svetlogorsk,Светлогорск
832,svetlograd,Светлоград
833,svetliy,Светлый
834,svetogorsk,Светогорск
835,svirsk,Свирск
836,svobodniy,Свободный
837,sebezh,Себеж
838,sevastopol,Севастополь
839,severo-kurilsk,Северо-Курильск
840,severobaykalsk,Северобайкальск
841,severodvinsk,Северодвинск
842,severomorsk,Североморск
843,severouralsk,Североуральск
844,seversk,Северск
845,sevsk,Севск
846,segezha,Сегежа
847,seltso,Сельцо
848,semenov,Семёнов
849,semikarakorsk,Семикаракорск
850,semiluki,Семилуки
851,sengiley,Сенгилей
852,serafimovich,Серафимович
853,sergach,Сергач
854,sergiev-posad,Сергиев Посад
855,serdobsk,Сердобск
856,serov,Серов
857,serpukhov,Серпухов
858,sertolovo,Сертолово
859,sibay,Сибай
860,sim,Сим
861,simferopol,Симферополь
862,skovorodino,Сковородино
863,skopin,Скопин
864,slavgorod,Славгород
865,slavsk,Славск
866,slavyansk-na-kubani,Славянск-на-Кубани
867,slantsy,Сланцы
868,slobodskoy,Слободской
869,slyudyanka,Слюдянка
870,smolensk,Смоленск
871,snezhinsk,Снежинск
872,snezhnogorsk,Снежногорск
873,sobinka,Собинка
874,sovetsk-39,Советск
875,sovetsk-43,Советск
876,sovetsk-71,Советск
877,sovetskaya-gavan,Советская Гавань
878,sovetskiy,Советский
879,sokol,Сокол
880,soligalich,Солигалич
881,solikamsk,Соликамск
882,solnechnogorsk,Солнечногорск
883,sol-iletsk,Соль-Илецк
884,solvichegodsk,Сольвычегодск
885,soltsy,Сольцы
886,sorochinsk,Сорочинск
887,sorsk,Сорск
888,sortavala,Сортавала
889,sosenskiy,Сосенский
890,sosnovka,Сосновка
891,sosnovoborsk,Сосновоборск
892,sosnoviy-bor,Сосновый Бор
893,sosnogorsk,Сосногорск
894,sochi,Сочи
895,spas-demensk,Спас-Деменск
896,spas-klepiki,Спас-Клепики
897,spassk,Спасск
898,spassk-dalniy,Спасск-Дальний
899,spassk-ryazanskiy,Спасск-Рязанский
900,srednekolymsk,Среднеколымск
901,sredneuralsk,Среднеуральск
902,sretensk,Сретенск
903,stavropol,Ставрополь
904,staraya-kupavna,Старая Купавна
905,staraya-russa,Старая Русса
906,staritsa,Старица
907,starodub,Стародуб
908,stariy-krym,Старый Крым
909,stariy-oskol,Старый Оскол
910,sterlitamak,Стерлитамак
911,strezhevoy,Стрежевой
912,stroitel,Строитель
913,strunino,Струнино
914,stupino,Ступино
915,suvorov,Суворов
916,sudak,Судак
917,sudzha,Суджа
918,sudogda,Судогда
919,suzdal,Суздаль
920,suoyarvi,Суоярви
921,surazh,Сураж
922,surgut,Сургут
923,surovikino,Суровикино
924,sursk,Сурск
925,susuman,Сусуман
926,suhinichi,Сухиничи
927,suhoy-log,Сухой Лог
928,syzran,Сызрань
929,syktyvkar,Сыктывкар
930,sysert,Сысерть
931,sychevka,Сычёвка
932,syasystroy,Сясьстрой
933,tavda,Тавда
934,taganrog,Таганрог
935,tayga,Тайга
936,tayshet,Тайшет
937,taldom,Талдом
938,talitsa,Талица
939,tambov,Тамбов
940,tara,Тара
941,tarko-sale,Тарко-Сале
942,tarusa,Таруса
943,tatarsk,Татарск
944,tashtagol,Таштагол
945,tver,Тверь
946,teberda,Теберда
947,teykovo,Тейково
948,temnikov,Темников
949,temryuk,Темрюк
950,terek,Терек
951,tetyushi,Тетюши
952,timashyevsk,Тимашёвск
953,tikhvin,Тихвин
954,tikhoretsk,Тихорецк
955,tobolsk,Тобольск
956,toguchin,Тогучин
957,tolyatti,Тольятти
958,tomari,Томари
959,tommot,Томмот
960,tomsk,Томск
961,topki,Топки
962,torzhok,Торжок
963,toropets,Торопец
964,tosno,Тосно
965,totyma,Тотьма
966,trekhgorniy,Трёхгорный
967,troitsk,Троицк
968,trubchevsk,Трубчевск
969,tuapse,Туапсе
970,tuymazy,Туймазы
971,tula,Тула
972,tulun,Тулун
973,turan,Туран
974,turinsk,Туринск
975,tutaev,Тутаев
976,tinda,Тында
977,tirniauz,Тырныауз
978,tyukalinsk,Тюкалинск
979,tyumen,Тюмень
980,uvarovo,Уварово
981,tsiolkovskiy,Циолковский
982,uglegorsk,Углегорск
983,uglich,Углич
984,udachniy,Удачный
